epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.30699140021882254), 0.4829225352112676) (np.float64(0.26978499907401887), 0.41919014084507045)
40 (np.float64(0.32258182140488073), 0.5026408450704225) (np.float64(0.265617507527237), 0.4073943661971831)
60 (np.float64(0.3371339361761211), 0.5116197183098592) (np.float64(0.27691618427954207), 0.4177816901408451)
80 (np.float64(0.3515573342247292), 0.5202464788732394) (np.float64(0.28764146185609446), 0.4169014084507042)
100 (np.float64(0.36138170112169327), 0.5283450704225352) (np.float64(0.2937986960863156), 0.42570422535211266)
120 (np.float64(0.36296922660009295), 0.5269366197183099) (np.float64(0.30068391707196646), 0.42869718309859156)
140 (np.float64(0.36875760204978714), 0.5325704225352113) (np.float64(0.30486368515922263), 0.4355633802816901)
160 (np.float64(0.3557481327194765), 0.5172535211267606) (np.float64(0.29248603338127377), 0.41742957746478876)
180 (np.float64(0.36669582924425187), 0.5279929577464789) (np.float64(0.30240397693128057), 0.4325704225352113)
200 (np.float64(0.3610643857806619), 0.5179577464788733) (np.float64(0.2917016099026776), 0.415669014084507)
220 (np.float64(0.3586110876676778), 0.518661971830986) (np.float64(0.28760312036976193), 0.4107394366197183)
240 (np.float64(0.36306588474100127), 0.5214788732394366) (np.float64(0.29331868691510515), 0.4232394366197183)
260 (np.float64(0.36702220722827494), 0.5253521126760563) (np.float64(0.2978378272464525), 0.42200704225352115)
280 (np.float64(0.3633832626640189), 0.5200704225352113) (np.float64(0.3008256525671216), 0.42200704225352115)
300 (np.float64(0.3659430917407515), 0.5235915492957747) (np.float64(0.2996421113436626), 0.4227112676056338)
320 (np.float64(0.36418567299188853), 0.5204225352112676) (np.float64(0.29729614338796845), 0.42922535211267604)
340 (np.float64(0.36121450078646583), 0.5123239436619719) (np.float64(0.2793295561647275), 0.4045774647887324)
360 (np.float64(0.3628910637179382), 0.5193661971830986) (np.float64(0.2923005581838235), 0.42095070422535213)
380 (np.float64(0.36636568206697057), 0.5179577464788733) (np.float64(0.2968244782983308), 0.4216549295774648)
400 (np.float64(0.3586525577235026), 0.5133802816901408) (np.float64(0.2903280965974886), 0.4125)
420 (np.float64(0.3625476379741599), 0.5181338028169014) (np.float64(0.2918042057207127), 0.4154929577464789)
440 (np.float64(0.366609128652656), 0.516725352112676) (np.float64(0.3017796172949945), 0.4193661971830986)
460 (np.float64(0.361728404943283), 0.5086267605633803) (np.float64(0.2919455505671762), 0.4110915492957746)
480 (np.float64(0.3587789017481655), 0.5084507042253521) (np.float64(0.2906990290136042), 0.4096830985915493)
500 (np.float64(0.3656341511955126), 0.5190140845070422) (np.float64(0.29930276747559614), 0.42288732394366196)
520 (np.float64(0.3612145017947912), 0.5116197183098592) (np.float64(0.2891639921222746), 0.4100352112676056)
540 (np.float64(0.3611905114101425), 0.5119718309859155) (np.float64(0.2982733624255068), 0.4170774647887324)
560 (np.float64(0.3678380933335875), 0.5181338028169014) (np.float64(0.2990152987200381), 0.4169014084507042)
580 (np.float64(0.36118313285544795), 0.5153169014084507) (np.float64(0.29042270216182386), 0.41232394366197184)
600 (np.float64(0.35911059487952723), 0.5077464788732394) (np.float64(0.28866233298583593), 0.4054577464788732)
620 (np.float64(0.3592734472844196), 0.5112676056338028) (np.float64(0.2928089246725855), 0.4154929577464789)
640 (np.float64(0.3673796133515063), 0.5161971830985915) (np.float64(0.2935855077732847), 0.4109154929577465)
660 (np.float64(0.3598012696330461), 0.5132042253521126) (np.float64(0.29283204211939634), 0.41390845070422533)
680 (np.float64(0.3652739629520916), 0.5225352112676056) (np.float64(0.29809480222519136), 0.4204225352112676)
700 (np.float64(0.3675652504710721), 0.5225352112676056) (np.float64(0.3002600755925519), 0.42482394366197185)
720 (np.float64(0.3605011922370476), 0.5117957746478873) (np.float64(0.29228312143529106), 0.4158450704225352)
740 (np.float64(0.3595020176417689), 0.5126760563380282) (np.float64(0.2972618740817374), 0.41795774647887324)
760 (np.float64(0.3654902479067111), 0.5177816901408451) (np.float64(0.29800024934825226), 0.4205985915492958)
780 (np.float64(0.36756156717667515), 0.5177816901408451) (np.float64(0.3003079722629907), 0.4214788732394366)
800 (np.float64(0.36124825806556166), 0.5058098591549296) (np.float64(0.29445329350459515), 0.41214788732394364)
820 (np.float64(0.3660243684206764), 0.5163732394366197) (np.float64(0.30123198180428606), 0.4255281690140845)
840 (np.float64(0.36124678121569304), 0.5126760563380282) (np.float64(0.2905943893059648), 0.4102112676056338)
860 (np.float64(0.35862351937116527), 0.5109154929577465) (np.float64(0.2913270640057458), 0.4170774647887324)
880 (np.float64(0.3606866654820718), 0.5079225352112676) (np.float64(0.2946183483587643), 0.4167253521126761)
900 (np.float64(0.36445468816294607), 0.5139084507042253) (np.float64(0.29483254832464156), 0.4225352112676056)
920 (np.float64(0.36284218174245664), 0.5128521126760563) (np.float64(0.2891291716922785), 0.40757042253521125)
940 (np.float64(0.3656230602800787), 0.5139084507042253) (np.float64(0.2977214574310111), 0.42482394366197185)
960 (np.float64(0.3614117207539738), 0.5165492957746479) (np.float64(0.2897836535093752), 0.4096830985915493)
980 (np.float64(0.3611491129015785), 0.5117957746478873) (np.float64(0.29005236528745365), 0.41056338028169015)
1000 (np.float64(0.3596070074999733), 0.5161971830985915) (np.float64(0.2931568935963638), 0.42095070422535213)
