epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.24452519896926808), 0.3899647887323944) (np.float64(0.20188412850344475), 0.3105633802816901)
40 (np.float64(0.25254452877654876), 0.4082746478873239) (np.float64(0.20506435933971026), 0.3198943661971831)
60 (np.float64(0.26369361856604523), 0.4279929577464789) (np.float64(0.2152065610134293), 0.33573943661971833)
80 (np.float64(0.2864047189940967), 0.4556338028169014) (np.float64(0.23657480719112758), 0.36690140845070424)
100 (np.float64(0.30995875939296813), 0.4836267605633803) (np.float64(0.25487485074883676), 0.38961267605633804)
120 (np.float64(0.3232413646170954), 0.4977112676056338) (np.float64(0.2606220907319056), 0.39753521126760566)
140 (np.float64(0.3327166593494867), 0.5126760563380282) (np.float64(0.2689807167204202), 0.3994718309859155)
160 (np.float64(0.3334062795704678), 0.5096830985915493) (np.float64(0.26895499492808245), 0.4044014084507042)
180 (np.float64(0.34121816162952007), 0.5160211267605633) (np.float64(0.2701604093390873), 0.4028169014084507)
200 (np.float64(0.3436360420712979), 0.5225352112676056) (np.float64(0.2739496157047448), 0.4051056338028169)
220 (np.float64(0.3514405922110637), 0.5278169014084507) (np.float64(0.27718009973908003), 0.4125)
240 (np.float64(0.35376245199424583), 0.5292253521126761) (np.float64(0.2775211403963119), 0.41056338028169015)
260 (np.float64(0.3583589277503676), 0.5278169014084507) (np.float64(0.27694189977609507), 0.4022887323943662)
280 (np.float64(0.36187996715708276), 0.532218309859155) (np.float64(0.2848295878886722), 0.4167253521126761)
300 (np.float64(0.36534899523511916), 0.5329225352112676) (np.float64(0.2896690507973106), 0.4188380281690141)
320 (np.float64(0.3657911412069692), 0.5316901408450704) (np.float64(0.29111738857440683), 0.4176056338028169)
340 (np.float64(0.3696730733976861), 0.5325704225352113) (np.float64(0.2978651500022828), 0.42464788732394365)
360 (np.float64(0.37504978186804117), 0.5415492957746478) (np.float64(0.3004976167004736), 0.428169014084507)
380 (np.float64(0.374669547089703), 0.5294014084507043) (np.float64(0.29549289301043535), 0.41919014084507045)
400 (np.float64(0.37594976192180973), 0.5394366197183098) (np.float64(0.29854940937092994), 0.4205985915492958)
420 (np.float64(0.37890508512640575), 0.5360915492957746) (np.float64(0.30288200587481157), 0.42640845070422534)
440 (np.float64(0.38164149316399426), 0.5406690140845071) (np.float64(0.30285655664948136), 0.42658450704225354)
460 (np.float64(0.38195288130935073), 0.5380281690140845) (np.float64(0.3026926380411498), 0.423943661971831)
480 (np.float64(0.3796064137889972), 0.5376760563380282) (np.float64(0.3017583716360702), 0.4204225352112676)
500 (np.float64(0.38285174143146644), 0.5369718309859155) (np.float64(0.298296733875909), 0.4176056338028169)
520 (np.float64(0.3821682795202527), 0.5329225352112676) (np.float64(0.30282084909529006), 0.4163732394366197)
540 (np.float64(0.3834404368243328), 0.5367957746478873) (np.float64(0.30326954398743017), 0.42306338028169016)
560 (np.float64(0.3831772222908428), 0.536443661971831) (np.float64(0.30131454157053666), 0.4193661971830986)
580 (np.float64(0.38077563289893396), 0.5345070422535211) (np.float64(0.30464943372026887), 0.42288732394366196)
600 (np.float64(0.37964825053586176), 0.5315140845070423) (np.float64(0.30258109835811914), 0.41742957746478876)
620 (np.float64(0.38212040357650695), 0.5357394366197183) (np.float64(0.30683995230447864), 0.4225352112676056)
640 (np.float64(0.3819745480326041), 0.5272887323943662) (np.float64(0.3040477336554437), 0.4186619718309859)
660 (np.float64(0.38310499318002234), 0.5371478873239437) (np.float64(0.30802266484964214), 0.4255281690140845)
680 (np.float64(0.37973040081785153), 0.5309859154929577) (np.float64(0.29877648260718426), 0.41919014084507045)
700 (np.float64(0.37903567758338047), 0.5278169014084507) (np.float64(0.29770245281033225), 0.41338028169014085)
720 (np.float64(0.3786754273558696), 0.5313380281690141) (np.float64(0.2997661143554367), 0.4163732394366197)
740 (np.float64(0.38186952917420164), 0.532394366197183) (np.float64(0.3007568427095124), 0.41602112676056335)
760 (np.float64(0.3803133917753984), 0.5332746478873239) (np.float64(0.30075354296592477), 0.4197183098591549)
780 (np.float64(0.378157890746415), 0.5294014084507043) (np.float64(0.3034692043088107), 0.4183098591549296)
800 (np.float64(0.374686611213942), 0.5235915492957747) (np.float64(0.30049913184896176), 0.41214788732394364)
820 (np.float64(0.37820683747922923), 0.5274647887323943) (np.float64(0.30044332620471503), 0.4165492957746479)
840 (np.float64(0.37644493439161947), 0.5262323943661972) (np.float64(0.2956084222740008), 0.4102112676056338)
860 (np.float64(0.3763697064150134), 0.5242957746478873) (np.float64(0.2968195580423891), 0.41496478873239434)
880 (np.float64(0.37724065660266215), 0.5235915492957747) (np.float64(0.2993076919934467), 0.41390845070422533)
900 (np.float64(0.3805320408090092), 0.5278169014084507) (np.float64(0.301414438092674), 0.4205985915492958)
920 (np.float64(0.3755930332179384), 0.5218309859154929) (np.float64(0.29391510794038567), 0.4100352112676056)
940 (np.float64(0.3755182065640325), 0.520774647887324) (np.float64(0.29363110354058075), 0.4070422535211268)
960 (np.float64(0.3764109310709491), 0.5227112676056338) (np.float64(0.2979764573962521), 0.4102112676056338)
980 (np.float64(0.3765658535341196), 0.520774647887324) (np.float64(0.2965706002164769), 0.4068661971830986)
1000 (np.float64(0.3739939497058989), 0.5242957746478873) (np.float64(0.29256649225803866), 0.4068661971830986)
1020 (np.float64(0.3726045110027651), 0.520774647887324) (np.float64(0.2969685683135744), 0.40651408450704224)
1040 (np.float64(0.370962840162907), 0.518661971830986) (np.float64(0.29418038271095626), 0.4072183098591549)
1060 (np.float64(0.37654179172058133), 0.5165492957746479) (np.float64(0.2969346667519384), 0.4073943661971831)
1080 (np.float64(0.3725838893345032), 0.5184859154929577) (np.float64(0.29001395241586325), 0.4)
1100 (np.float64(0.3682625100123915), 0.5154929577464789) (np.float64(0.29235568313592714), 0.4063380281690141)
1120 (np.float64(0.3688617166423978), 0.5107394366197183) (np.float64(0.2905102314387024), 0.40369718309859154)
1140 (np.float64(0.37408081704910967), 0.518661971830986) (np.float64(0.2994129736393611), 0.40950704225352114)
1160 (np.float64(0.36831783724639455), 0.5123239436619719) (np.float64(0.29083754633054687), 0.4035211267605634)
1180 (np.float64(0.36902584117925424), 0.5149647887323944) (np.float64(0.29210678352514197), 0.4079225352112676)
1200 (np.float64(0.37157160951905377), 0.5132042253521126) (np.float64(0.29610527958988814), 0.4073943661971831)
1220 (np.float64(0.3705246306957857), 0.5149647887323944) (np.float64(0.29387692393952564), 0.4070422535211268)
1240 (np.float64(0.36945896766860475), 0.5144366197183099) (np.float64(0.2893798463574953), 0.4007042253521127)
1260 (np.float64(0.36943411265935927), 0.5110915492957746) (np.float64(0.29658049880000614), 0.40580985915492956)
1280 (np.float64(0.37180377977878576), 0.5209507042253522) (np.float64(0.29567087407958337), 0.4098591549295775)
1300 (np.float64(0.37003465194049456), 0.5179577464788733) (np.float64(0.29423612263498766), 0.4033450704225352)
1320 (np.float64(0.3701510783911904), 0.5160211267605633) (np.float64(0.2993671158258814), 0.40950704225352114)
1340 (np.float64(0.3690691392119261), 0.5176056338028169) (np.float64(0.2954849191535945), 0.41214788732394364)
1360 (np.float64(0.37208029712292884), 0.516725352112676) (np.float64(0.2970579190000698), 0.41038732394366195)
1380 (np.float64(0.3691495107684795), 0.5119718309859155) (np.float64(0.29134985440003636), 0.40088028169014084)
1400 (np.float64(0.36584275737730954), 0.5063380281690141) (np.float64(0.29100889598710417), 0.4042253521126761)
1420 (np.float64(0.3689940824327202), 0.5123239436619719) (np.float64(0.2917857441636861), 0.40369718309859154)
1440 (np.float64(0.3658559087599946), 0.5066901408450705) (np.float64(0.29276073386378054), 0.4068661971830986)
1460 (np.float64(0.3662010797504967), 0.5098591549295775) (np.float64(0.2940533803495669), 0.4063380281690141)
1480 (np.float64(0.3694218588176706), 0.5080985915492958) (np.float64(0.2892512641073009), 0.40492957746478875)
1500 (np.float64(0.36142437401315114), 0.5063380281690141) (np.float64(0.28665275982567423), 0.3971830985915493)
1520 (np.float64(0.3710276472431672), 0.5110915492957746) (np.float64(0.3007342294962975), 0.41232394366197184)
1540 (np.float64(0.36264879951947454), 0.509330985915493) (np.float64(0.29259002028192765), 0.4040492957746479)
1560 (np.float64(0.3628996171528793), 0.5040492957746479) (np.float64(0.2876786094852443), 0.4028169014084507)
1580 (np.float64(0.36592422449407086), 0.5117957746478873) (np.float64(0.30168089010783516), 0.4153169014084507)
1600 (np.float64(0.35900046864228397), 0.5056338028169014) (np.float64(0.28844527243559165), 0.4007042253521127)
1620 (np.float64(0.36583918348973693), 0.5110915492957746) (np.float64(0.29779032789659987), 0.41056338028169015)
1640 (np.float64(0.3657212213155763), 0.5091549295774648) (np.float64(0.2958173012295497), 0.413556338028169)
1660 (np.float64(0.36030902659959646), 0.5031690140845071) (np.float64(0.29136210296986637), 0.40316901408450706)
1680 (np.float64(0.3702380439425621), 0.5116197183098592) (np.float64(0.30087179361911764), 0.41443661971830986)
1700 (np.float64(0.36263935611280607), 0.507218309859155) (np.float64(0.295638798795922), 0.41338028169014085)
1720 (np.float64(0.3694199876671061), 0.5142605633802817) (np.float64(0.2959426399606116), 0.4110915492957746)
1740 (np.float64(0.3705922055516577), 0.5140845070422535) (np.float64(0.3004326403471606), 0.4153169014084507)
1760 (np.float64(0.3670223475741304), 0.5100352112676056) (np.float64(0.29676676110714983), 0.4100352112676056)
1780 (np.float64(0.3713351445954511), 0.513556338028169) (np.float64(0.29971052619373373), 0.41619718309859155)
1800 (np.float64(0.36713628451268), 0.5088028169014085) (np.float64(0.2969896614204474), 0.41232394366197184)
1820 (np.float64(0.370630303022487), 0.5121478873239437) (np.float64(0.3027151319039834), 0.4193661971830986)
1840 (np.float64(0.3686641708497638), 0.5133802816901408) (np.float64(0.2942226580732974), 0.4070422535211268)
1860 (np.float64(0.3696914292671547), 0.5109154929577465) (np.float64(0.3036219813550229), 0.4232394366197183)
1880 (np.float64(0.3685424931040518), 0.5140845070422535) (np.float64(0.2980323772059054), 0.4167253521126761)
1900 (np.float64(0.36613741139854955), 0.5098591549295775) (np.float64(0.29486839857357217), 0.40651408450704224)
1920 (np.float64(0.36474609044996703), 0.5056338028169014) (np.float64(0.29167691652222444), 0.4098591549295775)
1940 (np.float64(0.36086750849140836), 0.5051056338028169) (np.float64(0.29165416293736646), 0.4042253521126761)
1960 (np.float64(0.3612112704576471), 0.5036971830985916) (np.float64(0.28410616673900685), 0.3936619718309859)
1980 (np.float64(0.3633164439438865), 0.5098591549295775) (np.float64(0.29393859489356416), 0.4068661971830986)
2000 (np.float64(0.36475718777801375), 0.5049295774647887) (np.float64(0.29477434844092454), 0.4107394366197183)
