epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.2434110636638056), 0.39066901408450705) (np.float64(0.19755517198542838), 0.3084507042253521)
40 (np.float64(0.24336011606793362), 0.3913732394366197) (np.float64(0.19742850478849178), 0.30933098591549296)
60 (np.float64(0.24563896648231326), 0.3936619718309859) (np.float64(0.19599605526667746), 0.31285211267605634)
80 (np.float64(0.248214198272077), 0.4061619718309859) (np.float64(0.2027347553187769), 0.321830985915493)
100 (np.float64(0.2581653999146281), 0.41443661971830986) (np.float64(0.21272121613985048), 0.3375)
120 (np.float64(0.2809625585620534), 0.4450704225352113) (np.float64(0.22819729166908342), 0.35545774647887324)
140 (np.float64(0.29932067725238376), 0.4698943661971831) (np.float64(0.249031131987469), 0.3873239436619718)
160 (np.float64(0.31477684597753847), 0.48626760563380284) (np.float64(0.2593967908593066), 0.3977112676056338)
180 (np.float64(0.3218182620292395), 0.4982394366197183) (np.float64(0.2611244881718748), 0.3970070422535211)
200 (np.float64(0.33167025316159315), 0.5068661971830986) (np.float64(0.2782467101883959), 0.42376760563380284)
220 (np.float64(0.3338919697060768), 0.5075704225352112) (np.float64(0.27721004459155824), 0.4154929577464789)
240 (np.float64(0.33716832506692224), 0.5154929577464789) (np.float64(0.27612883852791076), 0.4154929577464789)
260 (np.float64(0.34357908189161773), 0.5174295774647887) (np.float64(0.2796441578396197), 0.41919014084507045)
280 (np.float64(0.3424431560810495), 0.5198943661971831) (np.float64(0.28178133633400115), 0.4244718309859155)
300 (np.float64(0.3462007502662839), 0.5230633802816902) (np.float64(0.27783855638641825), 0.41443661971830986)
320 (np.float64(0.3451078595865944), 0.526056338028169) (np.float64(0.28101779699595014), 0.42288732394366196)
340 (np.float64(0.3466272249309204), 0.5265845070422536) (np.float64(0.2766046084151641), 0.4147887323943662)
360 (np.float64(0.347237997720392), 0.5244718309859155) (np.float64(0.28083174772274927), 0.4211267605633803)
380 (np.float64(0.3519711761460296), 0.5304577464788732) (np.float64(0.2879648904031347), 0.428169014084507)
400 (np.float64(0.3551000685104011), 0.5274647887323943) (np.float64(0.2866047921010801), 0.4211267605633803)
420 (np.float64(0.3552650406847387), 0.5292253521126761) (np.float64(0.28850962303820926), 0.42024647887323946)
440 (np.float64(0.35674486160771535), 0.5299295774647887) (np.float64(0.2898797042321823), 0.425)
460 (np.float64(0.3574278304823401), 0.530281690140845) (np.float64(0.28838668962419706), 0.4214788732394366)
480 (np.float64(0.3629887487794144), 0.535387323943662) (np.float64(0.29644356923561765), 0.427112676056338)
500 (np.float64(0.3637178896256009), 0.5375) (np.float64(0.3023695323235466), 0.43503521126760564)
520 (np.float64(0.364735226493974), 0.5369718309859155) (np.float64(0.30202087129151156), 0.43838028169014087)
540 (np.float64(0.36854904253180476), 0.5380281690140845) (np.float64(0.30296492816506576), 0.43433098591549296)
560 (np.float64(0.3708100390838723), 0.539612676056338) (np.float64(0.30308811250807816), 0.43503521126760564)
580 (np.float64(0.37366564278426134), 0.5380281690140845) (np.float64(0.3076111685482504), 0.4413732394366197)
600 (np.float64(0.37418910051221643), 0.5380281690140845) (np.float64(0.30701057511079016), 0.4422535211267606)
620 (np.float64(0.3717523275962284), 0.536443661971831) (np.float64(0.30403573890222535), 0.43485915492957744)
640 (np.float64(0.3692807829619269), 0.539612676056338) (np.float64(0.30335345297748145), 0.43151408450704226)
660 (np.float64(0.37369870304381586), 0.5334507042253521) (np.float64(0.3046352883351356), 0.435387323943662)
680 (np.float64(0.3770644382303911), 0.5378521126760564) (np.float64(0.31015518967313627), 0.44119718309859157)
700 (np.float64(0.3728749915514395), 0.5359154929577464) (np.float64(0.3079644066804896), 0.43785211267605634)
720 (np.float64(0.37492744543034184), 0.5389084507042253) (np.float64(0.306207431309716), 0.4339788732394366)
740 (np.float64(0.3732728060664135), 0.5376760563380282) (np.float64(0.31552393690120195), 0.4480633802816901)
760 (np.float64(0.3748545903359304), 0.5373239436619718) (np.float64(0.3108407579144069), 0.4382042253521127)
780 (np.float64(0.37524839294257634), 0.5382042253521127) (np.float64(0.3079920835851409), 0.4387323943661972)
800 (np.float64(0.37645825926198745), 0.5403169014084507) (np.float64(0.3079808422903238), 0.4373239436619718)
820 (np.float64(0.37608058171089465), 0.5392605633802817) (np.float64(0.3121175679348184), 0.44348591549295774)
840 (np.float64(0.3735498935716417), 0.5315140845070423) (np.float64(0.31118614821638957), 0.44119718309859157)
860 (np.float64(0.3718932897433065), 0.5341549295774648) (np.float64(0.30716481120856226), 0.43661971830985913)
880 (np.float64(0.37850599409461694), 0.5352112676056338) (np.float64(0.3075627669528741), 0.43433098591549296)
900 (np.float64(0.3781426357708808), 0.5341549295774648) (np.float64(0.31245746067648633), 0.44014084507042256)
920 (np.float64(0.3792096415810995), 0.5411971830985915) (np.float64(0.3109661682490299), 0.44066901408450704)
940 (np.float64(0.38030911172504617), 0.5406690140845071) (np.float64(0.3141735235148748), 0.4454225352112676)
960 (np.float64(0.3779131149412344), 0.5389084507042253) (np.float64(0.30992820069688076), 0.4382042253521127)
980 (np.float64(0.37687811867900745), 0.5366197183098591) (np.float64(0.3120411132263902), 0.44014084507042256)
1000 (np.float64(0.37617233576600484), 0.5367957746478873) (np.float64(0.3093602572731687), 0.435387323943662)
