epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.23047089141227142), 0.37447183098591547) (np.float64(0.18953055395250387), 0.2947183098591549)
40 (np.float64(0.2437267241299782), 0.3931338028169014) (np.float64(0.19581145505959327), 0.30264084507042255)
60 (np.float64(0.24405146892036444), 0.3929577464788732) (np.float64(0.19875117250704954), 0.30933098591549296)
80 (np.float64(0.2435151140359823), 0.39401408450704223) (np.float64(0.19735427383895388), 0.30651408450704226)
100 (np.float64(0.24168580486615016), 0.39172535211267606) (np.float64(0.19448457874408986), 0.3051056338028169)
120 (np.float64(0.24178668628053268), 0.38661971830985914) (np.float64(0.19570470080302876), 0.3077464788732394)
140 (np.float64(0.24282215813432018), 0.3931338028169014) (np.float64(0.19739701982037838), 0.3058098591549296)
160 (np.float64(0.24306956603789753), 0.39401408450704223) (np.float64(0.19819641363364413), 0.3102112676056338)
180 (np.float64(0.24438704406731998), 0.39507042253521124) (np.float64(0.1987807572665306), 0.31197183098591547)
200 (np.float64(0.24904031942265445), 0.4022887323943662) (np.float64(0.2046299702889674), 0.31778169014084506)
220 (np.float64(0.24967872044740325), 0.40193661971830985) (np.float64(0.20575258300711383), 0.3216549295774648)
240 (np.float64(0.2528151367878052), 0.4033450704225352) (np.float64(0.2085281845365071), 0.32711267605633804)
260 (np.float64(0.25545939840555204), 0.41038732394366195) (np.float64(0.21303350443897254), 0.3302816901408451)
280 (np.float64(0.261273652191214), 0.41602112676056335) (np.float64(0.22245637927393058), 0.34242957746478875)
300 (np.float64(0.2643809930990645), 0.4214788732394366) (np.float64(0.22365858173803396), 0.3485915492957746)
320 (np.float64(0.26774498935823454), 0.4213028169014085) (np.float64(0.22958377741284472), 0.3501760563380282)
340 (np.float64(0.27466460812652305), 0.4306338028169014) (np.float64(0.23179246468702988), 0.35475352112676056)
360 (np.float64(0.27571910615382034), 0.43309859154929575) (np.float64(0.23534865576983668), 0.35827464788732394)
380 (np.float64(0.2812887296671832), 0.4376760563380282) (np.float64(0.2389045404168197), 0.3681338028169014)
400 (np.float64(0.28278680456285316), 0.4426056338028169) (np.float64(0.241980951529243), 0.3720070422535211)
420 (np.float64(0.28845505968715585), 0.446830985915493) (np.float64(0.2449549477556707), 0.375)
440 (np.float64(0.2943087994325228), 0.4533450704225352) (np.float64(0.25206206387153174), 0.3816901408450704)
460 (np.float64(0.295347010325888), 0.4563380281690141) (np.float64(0.254938627127629), 0.3871478873239437)
480 (np.float64(0.29686394896139207), 0.46161971830985915) (np.float64(0.25327039274363955), 0.38503521126760565)
500 (np.float64(0.30137534857782167), 0.4632042253521127) (np.float64(0.251378076978111), 0.3818661971830986)
520 (np.float64(0.30209813132400165), 0.4665492957746479) (np.float64(0.2587111958367046), 0.3961267605633803)
540 (np.float64(0.30534343139082104), 0.47288732394366195) (np.float64(0.25780806674152446), 0.39348591549295775)
560 (np.float64(0.3074560417024192), 0.4751760563380282) (np.float64(0.25888799927494116), 0.39524647887323944)
580 (np.float64(0.30787649167720854), 0.4737676056338028) (np.float64(0.25778899366594515), 0.3947183098591549)
600 (np.float64(0.30789783616184974), 0.4790492957746479) (np.float64(0.25658297592114465), 0.3948943661971831)
620 (np.float64(0.3080683018038701), 0.4753521126760563) (np.float64(0.25881197277833656), 0.39929577464788735)
640 (np.float64(0.3098749679087555), 0.48433098591549295) (np.float64(0.25661132343502674), 0.3927816901408451)
660 (np.float64(0.314243296174955), 0.4846830985915493) (np.float64(0.2575686706146967), 0.39524647887323944)
680 (np.float64(0.31262392050228577), 0.4875) (np.float64(0.25748407006472757), 0.39454225352112676)
700 (np.float64(0.3142995927085164), 0.4913732394366197) (np.float64(0.2593592619167302), 0.398943661971831)
720 (np.float64(0.31824949251262696), 0.4878521126760563) (np.float64(0.2573111996942333), 0.3938380281690141)
740 (np.float64(0.3133183649439861), 0.48626760563380284) (np.float64(0.2540631692329486), 0.39172535211267606)
760 (np.float64(0.31479975325847503), 0.48626760563380284) (np.float64(0.2548843019473468), 0.3948943661971831)
780 (np.float64(0.3188301142688891), 0.49014084507042255) (np.float64(0.25494941912839775), 0.39348591549295775)
800 (np.float64(0.31502288811936885), 0.4908450704225352) (np.float64(0.2567816003240471), 0.39436619718309857)
820 (np.float64(0.3197764217020292), 0.49383802816901406) (np.float64(0.25543334529014067), 0.3948943661971831)
840 (np.float64(0.3158277897460451), 0.4904929577464789) (np.float64(0.2536124674293704), 0.39066901408450705)
860 (np.float64(0.3209646552275775), 0.49665492957746477) (np.float64(0.2566319108674166), 0.3959507042253521)
880 (np.float64(0.317897874900441), 0.49454225352112674) (np.float64(0.25261700755897265), 0.3869718309859155)
900 (np.float64(0.3172126473994751), 0.4922535211267606) (np.float64(0.25235296417210995), 0.3911971830985915)
920 (np.float64(0.31688636401329284), 0.489612676056338) (np.float64(0.24901714777298392), 0.3834507042253521)
940 (np.float64(0.3184889338698442), 0.497887323943662) (np.float64(0.25145333354793936), 0.38943661971830984)
960 (np.float64(0.3185914555428229), 0.498943661971831) (np.float64(0.25017315064045453), 0.3897887323943662)
980 (np.float64(0.3214046841437927), 0.49559859154929575) (np.float64(0.2521391635761327), 0.3926056338028169)
1000 (np.float64(0.3197940011786843), 0.497887323943662) (np.float64(0.25053888189139906), 0.38943661971830984)
