epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.31399965103052974), 0.48433098591549295) (np.float64(0.2540545960314076), 0.38221830985915495)
40 (np.float64(0.3433025928711107), 0.5079225352112676) (np.float64(0.2780065859944483), 0.40757042253521125)
60 (np.float64(0.353357578073741), 0.5121478873239437) (np.float64(0.28637955718189945), 0.4026408450704225)
80 (np.float64(0.3582435395680972), 0.5098591549295775) (np.float64(0.29660825635684435), 0.4158450704225352)
100 (np.float64(0.3632239905994862), 0.5183098591549296) (np.float64(0.29823149334200794), 0.41038732394366195)
120 (np.float64(0.3552481585770904), 0.5091549295774648) (np.float64(0.2828294186408998), 0.3977112676056338)
140 (np.float64(0.3557478096762371), 0.5) (np.float64(0.2833015486345692), 0.39242957746478874)
160 (np.float64(0.35208315557412073), 0.5035211267605634) (np.float64(0.2805365988047454), 0.3911971830985915)
180 (np.float64(0.3585932374383491), 0.509330985915493) (np.float64(0.2885151365508067), 0.40369718309859154)
200 (np.float64(0.3512360135600533), 0.5040492957746479) (np.float64(0.28595551982664885), 0.4054577464788732)
220 (np.float64(0.3518715417516763), 0.5019366197183098) (np.float64(0.28368218125674316), 0.3966549295774648)
240 (np.float64(0.35355122165770697), 0.504225352112676) (np.float64(0.28697595284631716), 0.4015845070422535)
260 (np.float64(0.35695779155009233), 0.5091549295774648) (np.float64(0.2926605625858195), 0.4154929577464789)
280 (np.float64(0.349660664415163), 0.5) (np.float64(0.287399612469233), 0.40035211267605636)
300 (np.float64(0.3515744416850979), 0.5028169014084507) (np.float64(0.2871956882039054), 0.4061619718309859)
