epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.5307745048775995), 0.8045) (np.float64(0.43160816152252834), 0.6954)
40 (np.float64(0.5643056259293906), 0.8293) (np.float64(0.46508347546757234), 0.7294)
60 (np.float64(0.5746418713571395), 0.8452) (np.float64(0.47640393210214216), 0.7398)
80 (np.float64(0.5928127454174698), 0.8567) (np.float64(0.4922846735430966), 0.7499)
100 (np.float64(0.6088266403566907), 0.8748) (np.float64(0.5082127003025634), 0.7719)
120 (np.float64(0.6165186381674199), 0.8726) (np.float64(0.5118079511827656), 0.7666)
140 (np.float64(0.62201826730779), 0.8755) (np.float64(0.5237842153335294), 0.7779)
160 (np.float64(0.6207288533191876), 0.872) (np.float64(0.526546057792419), 0.7784)
180 (np.float64(0.6189085572531019), 0.8685) (np.float64(0.5177596310202606), 0.7726)
200 (np.float64(0.629673209739152), 0.8775) (np.float64(0.5356219294744823), 0.7854)
220 (np.float64(0.6298384627668964), 0.88) (np.float64(0.5377245280936902), 0.7881)
240 (np.float64(0.6358691482266883), 0.8837) (np.float64(0.5381331731201195), 0.7831)
260 (np.float64(0.6371131986766976), 0.8814) (np.float64(0.5417497161201261), 0.7911)
280 (np.float64(0.6361809612365183), 0.8819) (np.float64(0.5389132516532401), 0.7885)
300 (np.float64(0.6349454603215569), 0.8824) (np.float64(0.5459320064342542), 0.7908)
320 (np.float64(0.6427478984139486), 0.8856) (np.float64(0.5379016511531574), 0.7832)
340 (np.float64(0.6432699499039954), 0.8873) (np.float64(0.5511133367739999), 0.7971)
360 (np.float64(0.644796296005143), 0.8844) (np.float64(0.5547965019708537), 0.7997)
380 (np.float64(0.6474720439560784), 0.8919) (np.float64(0.551615012401668), 0.7925)
400 (np.float64(0.6407361119909784), 0.8848) (np.float64(0.5433495900016716), 0.7845)
420 (np.float64(0.6453781222981522), 0.8865) (np.float64(0.5507730211172578), 0.7921)
440 (np.float64(0.6485014323621692), 0.8872) (np.float64(0.5464666951090266), 0.79)
460 (np.float64(0.6433444542544549), 0.8874) (np.float64(0.5429557622074761), 0.7873)
480 (np.float64(0.6474593090931501), 0.888) (np.float64(0.543237760614406), 0.7898)
500 (np.float64(0.6458944290472104), 0.8858) (np.float64(0.5505569504344182), 0.7912)
